fips,state,name,household_has_broadband,household_has_computer,household_has_smartphone,housing_mobile_homes,per_capita_income,persons_per_household,veterans
1001,Alabama,Autauga County,80.6,73,78.4,26.7,29819,2.56,12.6
1003,Alabama,Baldwin County,81.8,76.3,81.7,24.8,32626,2.59,11.8
1005,Alabama,Barbour County,60.5,51.9,64.2,39.1,18473,2.41,6.6
1007,Alabama,Bibb County,69.2,54.7,66.6,25.6,20778,2.99,8
1009,Alabama,Blount County,73,63.5,70.1,21.2,24747,2.74,7.7
1011,Alabama,Bullock County,60.1,52.5,70.6,28.9,20877,2.79,3.3
1013,Alabama,Butler County,64.6,60.5,57.1,30,21038,3,6.6
1015,Alabama,Calhoun County,75.1,67.8,74.9,29.9,25345,2.5,10.8
1017,Alabama,Chambers County,69.4,58.6,68.7,32.5,22729,2.46,7.9
1019,Alabama,Cherokee County,70.7,57.3,71.4,22.7,24301,2.39,9.1
1021,Alabama,Chilton County,68.7,58.7,69.1,25.5,24658,2.58,7.6
1023,Alabama,Choctaw County,61.3,59.1,63.7,19.1,22308,2.4,8.6
1025,Alabama,Clarke County,57.5,52.5,56.8,29.9,22225,2.61,6.2
1027,Alabama,Clay County,70.1,60.6,70.1,24.5,23519,2.52,6
1029,Alabama,Cleburne County,64.3,60.5,69.2,23.9,23142,2.6,6.1
1031,Alabama,Coffee County,80,69.7,76.4,34.3,27806,2.56,16.4
1033,Alabama,Colbert County,70.1,62.9,71.7,27.8,25536,2.48,8.9
1035,Alabama,Conecuh County,52.7,43.4,51.4,23.9,19769,2.71,5.9
1037,Alabama,Coosa County,69.5,55.3,67.8,20.8,23694,2.57,10.4
1039,Alabama,Covington County,70.7,57.2,67.6,25.5,23687,2.46,10
1041,Alabama,Crenshaw County,65.1,57.9,63.9,24.5,24563,2.77,6.6
1043,Alabama,Cullman County,74.1,62.3,71.5,25.2,23468,2.63,8
1045,Alabama,Dale County,77,67.6,76.1,39.9,24645,2.55,16.4
1047,Alabama,Dallas County,69.7,54.8,64.4,40.7,19612,2.42,6.1
1049,Alabama,DeKalb County,72,60.5,71.7,28.5,21907,2.7,6.3
1051,Alabama,Elmore County,81.5,71.5,79.4,26.7,29052,2.58,10.6
1053,Alabama,Escambia County,61,46.3,59.7,31.7,19028,2.61,7.4
1055,Alabama,Etowah County,76.5,63.4,73.1,27.4,24883,2.6,8.4
1057,Alabama,Fayette County,70.3,55.9,68,22.7,22483,2.38,8.4
1059,Alabama,Franklin County,61.9,53,63.4,29.2,21641,2.83,5.6
1061,Alabama,Geneva County,67.1,60.8,67.3,28,21711,2.52,11.6
1063,Alabama,Greene County,51.3,42,51,32.9,14884,2.8,7.1
1065,Alabama,Hale County,61.5,50.8,64.2,24.2,21191,2.59,7.1
1067,Alabama,Henry County,75.1,59.9,74.4,16.7,25276,2.53,9.2
1069,Alabama,Houston County,74.9,65.9,69.6,34.3,27097,2.64,9.8
1071,Alabama,Jackson County,70.9,60.6,69,24.5,22596,2.47,6.8
1073,Alabama,Jefferson County,79.4,71.1,79.3,37.3,32098,2.47,7.2
1075,Alabama,Lamar County,62.9,57.4,62.9,24.4,22636,2.34,7
1077,Alabama,Lauderdale County,72.3,66.6,73.4,31.9,28033,2.35,8.1
1079,Alabama,Lawrence County,62,53.1,67.7,22.3,23450,2.59,5.9
1081,Alabama,Lee County,82,79.7,83.7,38.4,27860,2.58,7.9
1083,Alabama,Limestone County,80.1,74.5,78.1,22.4,28411,2.86,9.8
1085,Alabama,Lowndes County,52.6,45.8,58.4,25.7,20209,2.35,3.8
1087,Alabama,Macon County,60.2,54.8,66.7,34.5,20419,2.2,8.7
1089,Alabama,Madison County,86.4,81.6,83.3,33.2,36620,2.38,11.7
1091,Alabama,Marengo County,59.7,52.3,61.1,28.5,25635,2.59,6.3
1093,Alabama,Marion County,65.6,58,65.9,24.9,21311,2.45,5.9
1095,Alabama,Marshall County,79.5,66.3,74.6,29.8,24453,2.71,8.2
