fips,state,name,Years of Potential Life Lost Rate,% Fair/Poor,Physically Unhealthy Days,Mentally Unhealthy Days,% LBW,% Smokers,% Obese,Food Environment Index,% Physically Inactive,% With Access,% Excessive Drinking,Chlamydia Rate,Teen Birth Rate,% Uninsured,PCP Rate,Dentist Rate,MHP Rate,Preventable Hosp. Rate,% Mammography Screened,% Flu Vaccinated,Graduation Rate,Population,% Some College,Labor Force,% Unemployed,% Children in Poverty,80th Percentile Income,20th Percentile Income,% Single-Parent Households,Association Rate,Violent Crime Rate,Injury Death Rate,Average Daily PM2.5,Presence of violation,% Severe Housing Problems,Overcrowding,Inadequate Facilities,% Drive Alone,% Long Commute - Drives Alone,Income Ratio
1001,Alabama,Autauga,8824,18,4.2,4.3,8,19,38,7.2,31,69,17,341.2,27,9,42,32,16,6599,44,41,90,14298,61,25909,3.9,19,105294,22709,25,12.6,272,74,11.7,0,15,2,1,86,38,4.6
1003,Alabama,Baldwin,7225,18,4.1,4.2,8,17,31,8,24,72,17,338.8,30,11,73,50,91,3833,45,45,86,48116,66,91567,4,15,105906,23438,25,10.7,204,69,10.3,1,14,1,1,85,41,4.5
1005,Alabama,Barbour,9586,26,5.1,4.6,11,22,44,5.6,28,54,13,557.9,45,13,39,36,8,4736,46,37,81,6956,37,8236,5.9,50,74459,12938,57,8.5,414,73,11.5,0,15,2,1,83,34,5.8
1007,Alabama,Bibb,11784,20,4.4,4.3,11,20,38,7.6,35,16,16,302.1,45,10,57,26,9,5998,44,39,84,6212,48,8506,4.4,27,88436,20786,30,10.2,89,100,11.2,0,11,0,0,86,49,4.3
1009,Alabama,Blount,10908,21,4.5,4.7,8,20,34,8.5,29,23,15,114.3,36,12,23,21,10,4162,36,38,93,13831,54,24494,4,19,86549,20972,30,9,483,105,11.7,0,10,2,1,87,60,4.1
1011,Alabama,Bullock,12067,29,5.2,4.8,14,23,39,4.2,29,27,13,733.9,55,13,29,19,10,6767,44,26,70,2784,34,4812,4.9,48,66477,10073,76,9.7,311,110,11.2,0,21,2,2,73,47,6.6
1013,Alabama,Butler,14019,27,5.1,5.1,12,22,40,6.5,35,49,13,827.7,42,11,30,30,35,7962,42,35,82,4872,38,8946,5.5,33,75474,14733,53,11.5,582,95,10.6,0,14,2,2,84,32,5.1
1015,Alabama,Calhoun,12218,20,4.3,4.5,9,20,37,6.9,30,45,15,587.5,37,11,65,65,98,6450,33,38,92,28921,58,45582,4.9,24,86828,17422,39,14.3,756,82,11.8,0,15,1,1,85,31,5
1017,Alabama,Chambers,11273,25,5,4.9,12,22,40,6.3,32,62,14,792.3,50,11,50,21,6,5511,38,43,86,7832,47,15176,4.1,30,77368,16325,48,17.7,529,81,11.4,0,16,3,1,87,31,4.7
1019,Alabama,Cherokee,11294,19,4.3,4.7,8,19,36,8.5,32,33,15,169,41,12,35,15,19,6577,33,43,95,5503,50,11174,4.1,25,80875,16898,26,10.1,330,106,11.4,0,15,2,1,85,43,4.8
1021,Alabama,Chilton,10832,21,4.7,4.6,9,20,35,8.1,31,47,15,307.3,49,14,18,27,41,3791,42,40,88,11423,39,19118,4,23,85794,17264,35,16.4,508,90,11.2,0,13,3,1,83,49,5
1023,Alabama,Choctaw,12047,24,4.7,4.8,11,19,41,6.4,33,28,13,375.3,30,11,38,46,NA,4778,45,36,79,2780,55,4336,6.4,35,74268,12869,43,20.8,128,103,10.1,0,13,1,1,82,46,5.8
1025,Alabama,Clarke,9688,28,5,4.8,13,21,40,5.4,32,24,13,633.4,41,11,57,29,66,5857,40,29,91,5555,39,7720,8.5,32,85203,10435,35,18.4,475,79,10.4,0,13,1,1,84,34,8.2
1027,Alabama,Clay,9666,21,4.5,4.6,10,19,38,7.9,31,64,15,287.8,42,13,37,15,15,5644,40,41,90,2998,41,5721,4.4,26,77406,15780,38,11.9,309,80,10.6,1,14,1,3,88,39,4.9
1029,Alabama,Cleburne,11986,18,4.4,4.6,9,20,35,8,29,41,16,252,41,12,27,NA,40,5505,28,35,98,3512,50,5742,4.5,22,76500,15576,20,8.7,103,103,11,0,12,4,0,82,50,4.9
1031,Alabama,Coffee,7933,20,4.5,4.6,8,18,33,7.5,30,57,16,467.5,30,11,55,33,54,4614,40,41,93,13112,60,20671,4.4,25,100452,21000,37,15.8,276,60,10.9,0,12,1,1,87,25,4.8
1033,Alabama,Colbert,10332,20,4.3,4.5,10,18,33,7.4,33,55,16,473,34,10,68,42,31,6478,40,47,92,12976,56,23092,5.2,22,85407,17308,36,17.3,400,69,10.7,0,15,1,1,89,27,4.9
1035,Alabama,Conecuh,10635,29,5.6,5.3,14,23,39,5.2,35,37,11,552.5,41,13,48,16,64,11309,37,44,80,2551,35,4446,6.1,43,60552,12302,46,9.7,387,90,10.3,0,17,2,4,90,43,4.9
1037,Alabama,Coosa,12713,24,4.8,4.7,13,21,40,6.9,31,8,14,440.9,45,13,NA,NA,9,4725,39,39,83,2451,45,4348,4.6,28,68298,15942,36,9.5,255,115,11,0,16,1,2,83,39,4.3
1039,Alabama,Covington,11346,22,4.8,4.8,10,21,33,7.5,33,51,15,448.4,51,12,51,38,59,8193,43,44,95,8404,53,15646,5.2,26,79761,17278,32,13.3,331,73,10.5,0,14,2,2,87,27,4.6
1041,Alabama,Crenshaw,9259,22,4.6,4.7,9,20,38,6.2,30,26,14,701.2,41,12,14,14,50,6215,42,37,89,3228,44,6417,4.5,29,83364,14465,40,10.8,332,75,10.7,0,10,1,0,81,44,5.8
1043,Alabama,Cullman,10008,21,4.5,4.8,8,20,35,8.3,33,46,16,337.1,45,13,58,48,120,6303,45,41,91,20173,51,37637,3.7,19,83761,18122,28,12.6,129,97,11.6,0,14,2,1,88,35,4.6
1045,Alabama,Dale,9637,23,4.7,4.4,9,19,37,6.7,29,48,14,571.9,35,11,16,35,81,5162,43,43,90,13058,58,19868,4.4,26,86303,16488,36,11.2,437,73,11,0,13,1,1,87,26,5.2
1047,Alabama,Dallas,13924,29,5.1,5.1,14,22,42,4.3,28,49,12,1030.9,43,10,75,33,48,6574,45,34,86,9244,49,14935,7.5,43,70804,10816,69,14,925,103,11.1,0,23,6,1,87,26,6.5
1049,Alabama,DeKalb,10995,23,4.5,4.7,8,22,30,8.4,31,47,15,251.9,42,17,42,25,22,5204,33,42,93,17671,44,29038,4.5,28,76234,16388,33,9,312,93,11.3,0,13,3,1,87,30,4.7
1051,Alabama,Elmore,8400,19,4.2,4.4,9,19,36,7.6,28,52,17,419.9,32,9,27,15,11,6057,48,40,86,22180,52,37236,3.6,17,104678,24050,34,10.9,239,77,11.9,0,11,1,1,86,46,4.4
1053,Alabama,Escambia,11921,24,4.9,4.7,10,21,38,6.5,30,49,13,545.9,48,13,40,35,48,7620,35,35,88,9643,38,14352,5,34,74169,13337,44,15.1,446,121,10.2,0,12,2,2,91,28,5.6
1055,Alabama,Etowah,11761,23,5,4.9,9,23,36,7.1,33,45,14,508.1,42,12,79,54,106,7165,29,36,90,25179,53,42894,4.6,29,83379,17682,37,15.8,604,87,11.5,0,12,2,1,85,29,4.7
1057,Alabama,Fayette,9664,20,4.6,4.6,10,20,38,7.9,35,35,15,456.3,43,11,115,30,12,5503,37,44,92,3773,55,6529,4.7,28,76223,15153,33,10.3,NA,98,10.6,0,13,1,1,84,38,5
1059,Alabama,Franklin,10876,22,4.7,4.9,9,21,33,8,34,58,15,351.3,48,13,44,25,13,7810,32,38,92,7832,42,13960,4.2,30,75018,17603,44,9.8,264,91,10.5,0,12,3,1,85,36,4.3
1061,Alabama,Geneva,10643,24,4.9,4.9,8,22,38,7.9,32,20,15,348.2,49,14,26,8,15,5629,41,46,90,6215,45,10817,4.3,34,78989,16096,42,9,414,79,10.6,0,11,2,1,84,43,4.9
1063,Alabama,Greene,12886,34,5.6,5.3,15,24,42,3.1,28,6,10,853.5,46,11,59,12,12,7559,40,28,78,1755,47,2833,7.7,49,52454,9294,77,10.7,669,78,10.5,0,18,4,2,80,43,5.6
1065,Alabama,Hale,11902,27,5.2,5,14,22,42,6.1,31,30,13,955,38,11,13,14,14,6807,39,33,91,3256,43,6007,5.9,36,73511,12173,59,6,209,82,10.8,0,18,2,1,90,48,6
1067,Alabama,Henry,9803,21,4.6,4.5,9,20,38,7.7,32,26,14,453.8,36,12,29,29,17,4305,47,42,98,3800,58,6697,4.9,28,90636,17640,27,17.5,197,72,10.9,0,11,1,1,86,35,5.1
1069,Alabama,Houston,9377,24,4.8,4.4,10,22,36,7,29,58,16,621,38,11,86,65,132,5137,45,45,91,26602,59,44411,4.3,27,88908,17737,44,13.1,488,72,10.7,0,13,1,0,89,27,5
1071,Alabama,Jackson,11016,20,4.6,4.8,9,22,37,7.9,30,48,15,241.1,43,13,52,33,44,6730,40,43,90,12318,44,23066,4.8,23,77556,15132,33,9.2,317,98,11,0,10,1,1,87,37,5.1
1073,Alabama,Jefferson,10995,20,4,4.3,11,18,33,6.2,28,80,16,700.1,32,10,108,88,156,4236,47,43,89,178343,67,309076,4.2,23,103706,19090,44,14.5,873,92,13.4,0,18,1,1,84,33,5.4
1075,Alabama,Lamar,12557,25,4.9,5,10,21,35,7.7,36,18,14,362.1,42,11,NA,22,14,5852,38,42,94,3069,54,5703,4.2,26,70847,14924,24,8.6,162,83,10.3,0,12,1,2,84,41,4.7
1077,Alabama,Lauderdale,8951,19,4.3,4.5,10,19,35,7.5,28,59,15,451.1,24,10,51,54,146,5480,42,51,94,21115,58,41868,4.6,19,86710,19062,36,15.1,269,70,11,0,13,1,0,88,29,4.5
1079,Alabama,Lawrence,11246,21,4.6,4.7,9,21,35,7.9,35,49,15,304.7,40,14,15,9,118,6598,39,39,88,7996,50,13640,4.9,24,88468,17872,30,13.2,260,97,11.3,0,11,2,1,87,48,5
1081,Alabama,Lee,7085,19,4.2,4.4,8,19,31,6.4,22,66,18,507,18,10,52,30,81,3778,36,45,91,41375,71,73520,3.9,19,100837,16183,38,8.1,416,55,12.1,0,20,2,1,85,28,6.2
1083,Alabama,Limestone,7645,18,4,4.3,9,19,34,8.2,27,60,16,257.7,26,11,36,26,40,5951,45,44,92,24440,57,41092,4,17,106098,20840,26,9.4,160,56,11.8,0,11,2,1,88,40,5.1
1085,Alabama,Lowndes,17068,30,5.4,5.1,14,22,46,4.5,33,5,11,1049.1,36,11,10,10,NA,5337,44,36,91,2345,39,3750,8,40,66034,11457,73,6.8,671,125,10.9,0,21,2,2,84,60,5.8
1087,Alabama,Macon,11806,30,5.2,4.9,14,22,47,3.9,31,32,12,1178.9,22,10,32,27,389,5299,40,33,80,3883,52,7892,5.8,45,72898,11343,60,7.9,734,92,11.7,1,21,2,1,79,36,6.4
1089,Alabama,Madison,8015,15,3.8,4,10,16,32,7.5,22,69,16,565.2,22,9,88,56,130,5154,45,44,93,91600,73,175153,3.8,18,124232,24334,31,10.8,611,62,11.6,1,13,1,1,88,25,5.1
1091,Alabama,Marengo,11228,27,5.2,4.8,12,21,41,5.3,32,45,12,571.9,31,10,41,26,31,6242,36,32,91,4545,50,7623,5.7,33,76994,11217,51,20.8,449,90,10.6,0,18,1,2,88,33,6.9
1093,Alabama,Marion,10860,21,4.6,4.8,9,21,36,7.9,32,46,14,241.2,45,11,30,20,10,7117,36,39,90,6895,55,12517,4.8,28,74728,15706,30,11,296,96,10.5,0,12,1,1,85,28,4.8
1095,Alabama,Marshall,10530,22,4.7,5,8,22,33,8.1,33,62,15,213.4,48,14,59,32,230,5877,36,45,92,23434,51,42108,3.8,31,85523,17902,33,9.8,286,87,11.8,0,14,3,1,85,29,4.8
1097,Alabama,Mobile,10333,20,4.6,4.4,12,19,37,6.4,28,72,16,684.1,38,12,66,50,83,6066,40,42,84,106121,60,186239,5.2,31,93484,17804,44,11.2,548,81,10.8,0,17,2,1,86,36,5.3
1099,Alabama,Monroe,12280,26,5.1,4.8,12,22,39,5,32,52,12,514.9,42,12,37,23,70,4791,41,38,88,4654,40,7165,6.7,34,64396,8089,54,14.9,492,85,10.4,0,12,1,1,91,32,8
1101,Alabama,Montgomery,9965,21,4.3,4.3,12,20,37,5.4,26,77,16,1113.7,38,11,97,69,121,5809,49,39,82,61540,62,105505,4.3,34,97906,17693,52,15.1,532,70,11.9,0,19,2,1,85,20,5.5
1103,Alabama,Morgan,9337,20,4.6,4.5,9,20,32,8,27,57,15,340.3,40,11,55,49,134,5862,41,44,90,29863,55,54840,4.1,21,92069,19580,32,12.4,181,76,11.6,0,13,2,0,90,35,4.7
1105,Alabama,Perry,14816,32,5.8,5.3,15,23,45,4.8,35,53,12,977,30,11,31,21,32,5789,41,24,93,1775,57,3402,7.9,51,51148,9512,80,10.4,381,72,10.7,0,20,6,1,85,47,5.4
1107,Alabama,Pickens,9928,25,5,4.8,13,21,36,6.9,27,6,14,545.1,36,12,39,10,15,5439,42,42,98,4841,52,7783,5.3,31,76236,13179,44,11.8,166,82,10.5,0,16,2,1,83,48,5.8
