fips,State,County,Years of Potential Life Lost Rate,% Fair/Poor,Physically Unhealthy Days,Mentally Unhealthy Days,% LBW,% Smokers,% Obese,Food Environment Index,% Physically Inactive,% With Access,% Excessive Drinking,% Alcohol-Impaired,Chlamydia Rate,Teen Birth Rate,% Uninsured,PCP Rate,Dentist Rate,MHP Rate,Preventable Hosp. Rate,% Mammography Screened,% Flu Vaccinated,Graduation Rate,% Some College,% Unemployed,% Children in Poverty,80th Percentile Income,20th Percentile Income,% Single-Parent Households,Association Rate,Violent Crime Rate,Injury Death Rate,Average Daily PM2.5,Presence of violation,% Severe Housing Problems,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,% Drive Alone,% Long Commute - Drives Alone,Income Ratio,Life Expectancy,% Frequent Physical Distress,% Frequent Mental Distress,% Diabetic,HIV Prevalence Rate,% Food Insecure,% Limited Access,% Insufficient Sleep,% Uninsured...56,% Uninsured...60,Household Income,% Free or Reduced Lunch,% Homeowners,% Severe Housing Cost Burden,Population,% < 18,% 65 and over,% African American,% American Indian/Alaskan Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Female,% Rural
01001,Alabama,Autauga,8824,18,4.2,4.3,8,19,38,7.2,31,69,17,29,341.2,27,9,42,32,16,6599,44,41,90,61,3.9,19,105294,22709,25,12.6,272,74,11.7,0,15,13,2,1,86,38,4.6,76.3,13,13,14,226,13,12,36,11,2,58343,48,73,13,55504,23.9,15.1,19.3,0.5,1.3,0.1,2.9,74.5,1,51.3,42
01003,Alabama,Baldwin,7225,18,4.1,4.2,8,17,31,8,24,72,17,32,338.8,30,11,73,50,91,3833,45,45,86,66,4,15,105906,23438,25,10.7,204,69,10.3,1,14,13,1,1,85,41,4.5,78.6,13,13,11,164,12,5,33,14,3,56607,45,73,13,212628,21.8,19.9,9,0.8,1.2,0.1,4.6,83,0,51.5,42.3
01005,Alabama,Barbour,9586,26,5.1,4.6,11,22,44,5.6,28,54,13,30,557.9,45,13,39,36,8,4736,46,37,81,37,5.9,50,74459,12938,57,8.5,414,73,11.5,0,15,14,2,1,83,34,5.8,75.8,16,15,18,436,23,11,39,17,3,32490,74,63,14,25270,20.8,18.8,47.9,0.7,0.5,0.2,4.2,46,1,47.2,67.8
01007,Alabama,Bibb,11784,20,4.4,4.3,11,20,38,7.6,35,16,16,27,302.1,45,10,57,26,9,5998,44,39,84,48,4.4,27,88436,20786,30,10.2,89,100,11.2,0,11,11,0,0,86,49,4.3,73.9,13,13,15,192,16,3,38,12,3,45795,65,75,9,22668,20.6,16,21.5,0.4,0.2,0.1,2.6,74.3,0,46.5,68.4
01009,Alabama,Blount,10908,21,4.5,4.7,8,20,34,8.5,29,23,15,22,114.3,36,12,23,21,10,4162,36,38,93,54,4,19,86549,20972,30,9,483,105,11.7,0,10,8,2,1,87,60,4.1,74.6,14,14,14,95,11,3,36,16,3,48253,53,79,8,58013,23.3,17.8,1.5,0.6,0.3,0.1,9.6,86.9,2,50.7,90
01011,Alabama,Bullock,12067,29,5.2,4.8,14,23,39,4.2,29,27,13,61,733.9,55,13,29,19,10,6767,44,26,70,34,4.9,48,66477,10073,76,9.7,311,110,11.2,0,21,17,2,2,73,47,6.6,73.1,17,15,20,691,26,20,45,18,3,29113,69,70,19,10309,20.7,15.8,69.2,0.8,0.2,0.8,8.2,21.3,1,45.5,51.4
01013,Alabama,Butler,14019,27,5.1,5.1,12,22,40,6.5,35,49,13,31,827.7,42,11,30,30,35,7962,42,35,82,38,5.5,33,75474,14733,53,11.5,582,95,10.6,0,14,11,2,2,84,32,5.1,73.5,16,15,18,268,22,3,42,14,2,36842,79,70,11,19825,22.7,19.6,44.6,0.4,1,0.1,1.4,51.6,1,53.4,71.2
01015,Alabama,Calhoun,12218,20,4.3,4.5,9,20,37,6.9,30,45,15,18,587.5,37,11,65,65,98,6450,33,38,92,58,4.9,24,86828,17422,39,14.3,756,82,11.8,0,15,13,1,1,85,31,5,73.1,13,14,16,211,17,9,41,14,2,45937,59,69,12,114728,21.8,17.3,20.8,0.5,1,0.1,3.7,72.3,1,51.9,33.7
01017,Alabama,Chambers,11273,25,5,4.9,12,22,40,6.3,32,62,14,34,792.3,50,11,50,21,6,5511,38,43,86,47,4.1,30,77368,16325,48,17.7,529,81,11.4,0,16,13,3,1,87,31,4.7,74.1,15,15,17,367,20,10,37,14,2,36883,56,66,13,33713,21.1,19.1,39.5,0.3,1.2,0,2.4,55.5,0,52.1,49.1
01019,Alabama,Cherokee,11294,19,4.3,4.7,8,19,36,8.5,32,33,15,18,169,41,12,35,15,19,6577,33,43,95,50,4.1,25,80875,16898,26,10.1,330,106,11.4,0,15,13,2,1,85,43,4.8,74.3,13,14,14,90,13,0,35,15,3,44842,64,78,10,25857,19.7,22.6,4.2,0.6,0.3,0,1.6,91.7,0,50.3,85.7
01021,Alabama,Chilton,10832,21,4.7,4.6,9,20,35,8.1,31,47,15,19,307.3,49,14,18,27,41,3791,42,40,88,39,4,23,85794,17264,35,16.4,508,90,11.2,0,13,10,3,1,83,49,5,74.2,14,14,15,100,14,1,35,18,4,46405,64,75,12,44067,23.9,16.4,10.1,0.5,0.5,0.2,7.8,80.2,2,50.8,86.7
01023,Alabama,Choctaw,12047,24,4.7,4.8,11,19,41,6.4,33,28,13,58,375.3,30,11,38,46,NA,4778,45,36,79,55,6.4,35,74268,12869,43,20.8,128,103,10.1,0,13,11,1,1,82,46,5.8,74.3,15,14,16,220,21,7,38,14,3,36711,64,80,9,12945,20.1,22.7,41.6,0.2,0.1,0,1,56.5,0,52.7,100
01025,Alabama,Clarke,9688,28,5,4.8,13,21,40,5.4,32,24,13,31,633.4,41,11,57,29,66,5857,40,29,91,39,8.5,32,85203,10435,35,18.4,475,79,10.4,0,13,12,1,1,84,34,8.2,75.9,16,15,19,162,24,11,41,15,3,36719,58,66,13,24083,21.9,19.3,44.2,0.5,0.5,0,1.3,52.7,0,52.8,76
01027,Alabama,Clay,9666,21,4.5,4.6,10,19,38,7.9,31,64,15,30,287.8,42,13,37,15,15,5644,40,41,90,41,4.4,26,77406,15780,38,11.9,309,80,10.6,1,14,11,1,3,88,39,4.9,75.4,14,14,15,191,15,2,39,17,4,39642,60,76,9,13367,20.6,20.2,13.8,0.6,0.2,0,3.1,80.5,0,51.1,100
01029,Alabama,Cleburne,11986,18,4.4,4.6,9,20,35,8,29,41,16,32,252,41,12,27,NA,40,5505,28,35,98,50,4.5,22,76500,15576,20,8.7,103,103,11,0,12,8,4,0,82,50,4.9,73.6,13,14,13,111,14,2,34,15,3,45480,57,74,12,14900,22.9,19.1,3.1,0.5,0.2,0.1,2.4,92.7,1,50.4,100
01031,Alabama,Coffee,7933,20,4.5,4.6,8,18,33,7.5,30,57,16,41,467.5,30,11,55,33,54,4614,40,41,93,60,4.4,25,100452,21000,37,15.8,276,60,10.9,0,12,10,1,1,87,25,4.8,77.2,14,13,15,143,15,6,37,14,3,51998,47,65,11,51874,23.7,16.6,17.3,1.4,1.6,0.4,7.1,70.2,1,50.7,47.2
01033,Alabama,Colbert,10332,20,4.3,4.5,10,18,33,7.4,33,55,16,18,473,34,10,68,42,31,6478,40,47,92,56,5.2,22,85407,17308,36,17.3,400,69,10.7,0,15,13,1,1,89,27,4.9,74.9,13,13,18,93,15,7,37,12,3,46100,52,73,13,54500,21,19.6,16.1,0.6,0.6,0.1,2.6,78.5,0,52,43.9
01035,Alabama,Conecuh,10635,29,5.6,5.3,14,23,39,5.2,35,37,11,26,552.5,41,13,48,16,64,11309,37,44,80,35,6.1,43,60552,12302,46,9.7,387,90,10.3,0,17,13,2,4,90,43,4.9,75,18,17,20,262,24,13,42,16,3,30796,61,78,12,12469,21,21.9,46.2,0.5,0.2,0,2,49.9,0,52,80.9
01037,Alabama,Coosa,12713,24,4.8,4.7,13,21,40,6.9,31,8,14,22,440.9,45,13,NA,NA,9,4725,39,39,83,45,4.6,28,68298,15942,36,9.5,255,115,11,0,16,14,1,2,83,39,4.3,73.4,15,14,19,150,16,10,37,16,4,42442,68,80,12,10754,16.4,22.8,30.2,0.6,0.1,0.2,2.4,65.8,1,49.8,100
