,,,Life expectancy,,,,,,Premature age-adjusted mortality,,,,,,,Child mortality,,,,,,,Infant mortality,,,,,,,Frequent physical distress,,,Frequent mental distress,,,Diabetes prevalence,,,HIV prevalence,,Food insecurity,,Limited access to healthy foods,,Drug overdose deaths,,Motor vehicle crash deaths,,,,Insufficient sleep,,,Uninsured adults,,,,Uninsured children,,,,Other primary care providers,,Disconnected youth,Median household income,,,,,,Children eligible for free or reduced price lunch,Residential segregation - black/white,Residential segregation - non-white/white,Homicides,,,Firearm fatalities,,,,Homeownership,,,,Severe housing cost burden,,,,Demographics,,,,,,,,,,,,,,,,,,,,,,
FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (White),# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Other PCP Rate,Other PCP Ratio,% Disconnected Youth,Household Income,95% CI - Low,95% CI - High,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural,
01001,Alabama,Autauga,76.3,75.6,77.1,74.6,,76.3,815,439,408,469,533,,432,29,53,36,77,93,,46,34,8,5,11,,,,13,12,13,13,12,13,14,11,18,103,226,7360,13,6544,12,16,10,79,20,16,25,36,35,37,3686,11,9,13,351,2,2,3,31,3265:1,8,58343,50930,65756,28595,89359,61380,48,30,27,5,3,8,49,18,13,23,15430,73,71,75,2569,13,10,15,55504,23.9,15.1,10687,19.3,264,0.5,710,1.3,58,0.1,1586,2.9,41336,74.5,430,1,0,1,51.3,22921,42.0,
01003,Alabama,Baldwin,78.6,78.2,79.0,75.6,98.0,78.5,2827,348,335,362,511,148,345,85,47,38,58,69,,47,91,6,5,7,11,,5,13,12,13,13,12,13,11,10,13,282,164,24500,12,9887,5,102,16,211,15,13,17,33,32,34,16389,14,12,15,1530,3,2,4,52,1916:1,8,56607,51641,61573,27504,43012,56266,45,44,33,3,2,4,147,14,12,17,55470,73,72,74,9313,13,11,14,212628,21.8,19.9,19037,9.0,1650,0.8,2459,1.2,146,0.1,9675,4.6,176582,83.0,872,0,0,1,51.5,77060,42.3,
01005,Alabama,Barbour,75.8,74.6,76.9,74.2,,77.6,451,470,425,515,542,,409,17,77,45,123,,,,,,,,,,,16,16,17,15,14,15,18,15,21,97,436,6160,23,2949,11,,,39,21,15,29,39,38,40,2105,17,14,19,161,3,2,4,24,4212:1,12,32490,28591,36389,22370,26534,44592,74,27,24,7,4,12,20,15,9,24,5745,63,60,65,1158,14,11,16,25270,20.8,18.8,12115,47.9,165,0.7,117,0.5,47,0.2,1063,4.2,11613,46.0,297,1,1,2,47.2,18613,67.8,
01007,Alabama,Bibb,73.9,72.6,75.2,72.3,,74.1,445,564,510,617,700,,550,21,112,69,171,,,,25,15,10,22,,,,13,13,14,13,13,13,15,12,19,37,192,3580,16,596,3,15,22,40,25,18,34,38,37,39,1532,12,10,14,125,3,2,4,93,1079:1,,45795,39991,51599,33531,42813,47444,65,39,38,8,4,14,24,21,14,32,5212,75,73,78,576,9,6,12,22668,20.6,16.0,4864,21.5,97,0.4,50,0.2,26,0.1,598,2.6,16842,74.3,84,0,0,1,46.5,15663,68.4,
01009,Alabama,Blount,74.6,73.8,75.4,,78.6,74.1,1050,502,470,533,,200,522,41,76,55,103,,,,29,6,4,9,,,,14,13,14,14,13,14,14,12,18,46,95,6340,11,1651,3,43,25,104,26,21,31,36,35,37,5275,16,14,18,476,3,2,5,19,5274:1,15,48253,42928,53578,34688,33016,49369,53,46,21,7,5,11,57,20,15,26,16246,79,77,81,1569,8,7,10,58013,23.3,17.8,847,1.5,367,0.6,175,0.3,68,0.1,5549,9.6,50439,86.9,1013,2,1,2,50.7,51562,90.0,
01011,Alabama,Bullock,73.1,71.2,75.1,71.2,,77.6,205,568,488,648,651,,401,12,135,70,237,,,,,,,,,,,17,16,17,15,14,15,20,15,26,61,691,2740,26,2155,20,,,34,46,32,64,45,44,46,882,18,15,20,62,3,2,4,78,1289:1,,29113,25319,32907,24319,,56875,69,21,20,,,,10,19,9,35,2570,70,64,76,673,19,12,26,10309,20.7,15.8,7130,69.2,87,0.8,20,0.2,80,0.8,850,8.2,2196,21.3,109,1,0,3,45.5,5607,51.4,
01013,Alabama,Butler,73.5,72.0,75.0,72.2,,74.4,393,577,517,637,678,,522,23,123,78,184,,,,,,,,,,,16,16,17,15,15,16,18,14,22,45,268,4410,22,613,3,,,38,27,19,37,42,41,43,1596,14,12,16,120,2,2,3,66,1525:1,13,36842,32747,40937,25292,20125,44942,79,35,34,17,11,25,24,24,15,36,4940,70,69,71,733,11,9,14,19825,22.7,19.6,8845,44.6,75,0.4,204,1.0,10,0.1,285,1.4,10229,51.6,135,1,0,2,53.4,14921,71.2,
01015,Alabama,Calhoun,73.1,72.6,73.6,72.4,105.6,72.9,2333,572,548,596,608,,582,78,77,61,96,124,,64,73,8,6,10,13,,6,13,13,13,14,13,14,16,14,19,206,211,19370,17,10883,9,66,19,148,18,15,21,41,40,42,9869,14,13,16,593,2,2,3,51,1978:1,7,45937,42937,48937,28212,33698,49415,59,47,41,10,8,13,140,24,20,28,31295,69,68,71,4954,12,10,13,114728,21.8,17.3,23852,20.8,607,0.5,1137,1.0,129,0.1,4302,3.7,82961,72.3,960,1,1,1,51.9,39955,33.7,
01017,Alabama,Chambers,74.1,73.1,75.1,74.4,,73.8,691,536,494,579,539,,552,25,87,56,128,,,,22,8,5,12,,,,15,15,16,15,14,15,17,14,21,106,367,6620,20,3534,10,,,57,24,18,31,37,36,38,2712,14,11,16,182,2,2,3,15,6743:1,13,36883,32600,41166,30919,25084,45689,56,27,26,10,6,15,40,24,17,32,9103,66,64,69,1636,13,10,15,33713,21.1,19.1,13313,39.5,100,0.3,421,1.2,15,0.0,822,2.4,18710,55.5,49,0,0,0,52.1,16816,49.1,
01019,Alabama,Cherokee,74.3,73.2,75.5,,,,575,537,489,585,703,,533,,,,,,,,,,,,,,,13,13,13,14,13,14,14,10,17,20,90,3240,13,57,0,11,14,61,34,26,43,35,34,37,2224,15,13,17,158,3,2,4,70,1437:1,,44842,39765,49919,36628,,40672,64,36,34,8,5,14,32,25,17,35,8435,78,75,81,1059,10,8,13,25857,19.7,22.6,1090,4.2,163,0.6,77,0.3,8,0.0,425,1.6,23707,91.7,24,0,0,1,50.3,22282,85.7,
01021,Alabama,Chilton,74.2,73.3,75.1,73.4,79.4,73.9,850,542,504,579,594,,554,27,64,42,93,,,,26,7,4,10,,,,14,14,15,14,14,15,15,12,18,36,100,5960,14,637,1,16,12,78,25,20,32,35,34,36,4795,18,16,21,420,4,3,5,14,7345:1,,46405,40773,52037,29302,27132,46722,64,35,29,6,4,10,33,15,10,21,12625,75,73,78,1993,12,10,15,44067,23.9,16.4,4442,10.1,241,0.5,220,0.5,76,0.2,3431,7.8,35335,80.2,923,2,1,3,50.8,37858,86.7,
01023,Alabama,Choctaw,74.3,72.5,76.0,73.7,,74.5,273,536,467,605,565,,526,,,,,,,,,,,,,,,15,14,15,14,14,15,16,14,19,25,220,2720,21,1010,7,,,38,41,29,56,38,37,39,1057,14,12,16,88,3,2,4,46,2158:1,,36711,32190,41232,23614,7917,47295,64,40,38,12,6,21,15,23,13,38,4379,80,77,83,468,9,6,12,12945,20.1,22.7,5389,41.6,23,0.2,19,0.1,0,0.0,126,1.0,7309,56.5,0,0,,,52.7,13859,100.0,
